sample_id,filepath,original_filepath,true_label,predicted_prob,error_type,source_split
pa_083755,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\redteam\replay\pa_083755.wav,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\raw\genuine\pa_083755.wav,GENUINE_MIC,0.825415849685669,false_positive,replay
pa_083757,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\redteam\replay\pa_083757.wav,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\raw\replay\pa_083757.wav,PHYSICAL_REPLAY,0.45466065406799316,false_negative,replay
pa_083761,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\redteam\replay\pa_083761.wav,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\raw\genuine\pa_083761.wav,GENUINE_MIC,0.8171947598457336,false_positive,replay
pa_083762,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\redteam\replay\pa_083762.wav,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\raw\genuine\pa_083762.wav,GENUINE_MIC,0.7817066311836243,false_positive,replay
pa_083774,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\redteam\replay\pa_083774.wav,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\raw\genuine\pa_083774.wav,GENUINE_MIC,0.6617558598518372,false_positive,replay
pa_083779,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\redteam\replay\pa_083779.wav,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\raw\replay\pa_083779.wav,PHYSICAL_REPLAY,0.5846617221832275,false_negative,replay
pa_083784,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\redteam\replay\pa_083784.wav,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\raw\replay\pa_083784.wav,PHYSICAL_REPLAY,0.6057723164558411,false_negative,replay
pa_083792,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\redteam\replay\pa_083792.wav,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\raw\genuine\pa_083792.wav,GENUINE_MIC,0.6663177013397217,false_positive,replay
pa_083794,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\redteam\replay\pa_083794.wav,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\raw\replay\pa_083794.wav,PHYSICAL_REPLAY,0.41829636693000793,false_negative,replay
pa_083797,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\redteam\replay\pa_083797.wav,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\raw\genuine\pa_083797.wav,GENUINE_MIC,0.8127732276916504,false_positive,replay
pa_083801,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\redteam\replay\pa_083801.wav,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\raw\genuine\pa_083801.wav,GENUINE_MIC,0.7623823285102844,false_positive,replay
pa_083809,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\redteam\replay\pa_083809.wav,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\raw\replay\pa_083809.wav,PHYSICAL_REPLAY,0.49051332473754883,false_negative,replay
pa_083827,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\redteam\replay\pa_083827.wav,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\raw\replay\pa_083827.wav,PHYSICAL_REPLAY,0.5910394191741943,false_negative,replay
pa_083853,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\redteam\replay\pa_083853.wav,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\raw\replay\pa_083853.wav,PHYSICAL_REPLAY,0.3460277318954468,false_negative,replay
pa_083868,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\redteam\replay\pa_083868.wav,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\raw\replay\pa_083868.wav,PHYSICAL_REPLAY,0.457891047000885,false_negative,replay
pa_083869,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\redteam\replay\pa_083869.wav,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\raw\genuine\pa_083869.wav,GENUINE_MIC,0.8373885750770569,false_positive,replay
pa_083874,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\redteam\replay\pa_083874.wav,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\raw\replay\pa_083874.wav,PHYSICAL_REPLAY,0.5162741541862488,false_negative,replay
pa_083897,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\redteam\replay\pa_083897.wav,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\raw\genuine\pa_083897.wav,GENUINE_MIC,0.738265872001648,false_positive,replay
pa_083904,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\redteam\replay\pa_083904.wav,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\raw\genuine\pa_083904.wav,GENUINE_MIC,0.9439204931259155,false_positive,replay
pa_083906,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\redteam\replay\pa_083906.wav,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\raw\genuine\pa_083906.wav,GENUINE_MIC,0.8379913568496704,false_positive,replay
pa_083912,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\redteam\replay\pa_083912.wav,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\raw\genuine\pa_083912.wav,GENUINE_MIC,0.62372225522995,false_positive,replay
pa_083913,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\redteam\replay\pa_083913.wav,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\raw\genuine\pa_083913.wav,GENUINE_MIC,0.8871385455131531,false_positive,replay
pa_083931,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\redteam\replay\pa_083931.wav,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\raw\genuine\pa_083931.wav,GENUINE_MIC,0.7554540634155273,false_positive,replay
pa_083936,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\redteam\replay\pa_083936.wav,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\raw\genuine\pa_083936.wav,GENUINE_MIC,0.6515135765075684,false_positive,replay
pa_083949,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\redteam\replay\pa_083949.wav,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\raw\genuine\pa_083949.wav,GENUINE_MIC,0.7111778259277344,false_positive,replay
pa_083952,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\redteam\replay\pa_083952.wav,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\raw\replay\pa_083952.wav,PHYSICAL_REPLAY,0.34608250856399536,false_negative,replay
pa_083976,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\redteam\replay\pa_083976.wav,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\raw\replay\pa_083976.wav,PHYSICAL_REPLAY,0.21431727707386017,false_negative,replay
pa_083979,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\redteam\replay\pa_083979.wav,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\raw\genuine\pa_083979.wav,GENUINE_MIC,0.6849019527435303,false_positive,replay
pa_083989,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\redteam\replay\pa_083989.wav,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\raw\replay\pa_083989.wav,PHYSICAL_REPLAY,0.28499603271484375,false_negative,replay
pa_084001,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\redteam\replay\pa_084001.wav,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\raw\replay\pa_084001.wav,PHYSICAL_REPLAY,0.35243964195251465,false_negative,replay
pa_084004,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\redteam\replay\pa_084004.wav,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\raw\genuine\pa_084004.wav,GENUINE_MIC,0.7855942845344543,false_positive,replay
pa_084014,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\redteam\replay\pa_084014.wav,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\raw\genuine\pa_084014.wav,GENUINE_MIC,0.7133203148841858,false_positive,replay
pa_084016,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\redteam\replay\pa_084016.wav,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\raw\replay\pa_084016.wav,PHYSICAL_REPLAY,0.49266400933265686,false_negative,replay
pa_084022,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\redteam\replay\pa_084022.wav,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\raw\replay\pa_084022.wav,PHYSICAL_REPLAY,0.5911468863487244,false_negative,replay
pa_084031,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\redteam\replay\pa_084031.wav,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\raw\replay\pa_084031.wav,PHYSICAL_REPLAY,0.5525344014167786,false_negative,replay
pa_084032,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\redteam\replay\pa_084032.wav,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\raw\genuine\pa_084032.wav,GENUINE_MIC,0.8679074048995972,false_positive,replay
pa_084035,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\redteam\replay\pa_084035.wav,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\raw\genuine\pa_084035.wav,GENUINE_MIC,0.8072469234466553,false_positive,replay
pa_084045,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\redteam\replay\pa_084045.wav,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\raw\genuine\pa_084045.wav,GENUINE_MIC,0.9208428859710693,false_positive,replay
pa_084060,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\redteam\replay\pa_084060.wav,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\raw\replay\pa_084060.wav,PHYSICAL_REPLAY,0.5952836871147156,false_negative,replay
pa_084072,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\redteam\replay\pa_084072.wav,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\raw\genuine\pa_084072.wav,GENUINE_MIC,0.6951152086257935,false_positive,replay
pa_084079,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\redteam\replay\pa_084079.wav,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\raw\replay\pa_084079.wav,PHYSICAL_REPLAY,0.46031543612480164,false_negative,replay
pa_084103,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\redteam\replay\pa_084103.wav,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\raw\replay\pa_084103.wav,PHYSICAL_REPLAY,0.5391187071800232,false_negative,replay
pa_084104,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\redteam\replay\pa_084104.wav,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\raw\genuine\pa_084104.wav,GENUINE_MIC,0.7850856781005859,false_positive,replay
pa_084120,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\redteam\replay\pa_084120.wav,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\raw\replay\pa_084120.wav,PHYSICAL_REPLAY,0.5977986454963684,false_negative,replay
pa_084138,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\redteam\replay\pa_084138.wav,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\raw\genuine\pa_084138.wav,GENUINE_MIC,0.8950750827789307,false_positive,replay
pa_084140,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\redteam\replay\pa_084140.wav,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\raw\genuine\pa_084140.wav,GENUINE_MIC,0.87855064868927,false_positive,replay
pa_084154,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\redteam\replay\pa_084154.wav,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\raw\genuine\pa_084154.wav,GENUINE_MIC,0.8200169801712036,false_positive,replay
pa_084163,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\redteam\replay\pa_084163.wav,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\raw\genuine\pa_084163.wav,GENUINE_MIC,0.780385434627533,false_positive,replay
pa_084164,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\redteam\replay\pa_084164.wav,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\raw\genuine\pa_084164.wav,GENUINE_MIC,0.6437292695045471,false_positive,replay
pa_084172,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\redteam\replay\pa_084172.wav,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\raw\replay\pa_084172.wav,PHYSICAL_REPLAY,0.42159199714660645,false_negative,replay
pa_084177,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\redteam\replay\pa_084177.wav,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\raw\genuine\pa_084177.wav,GENUINE_MIC,0.6879889369010925,false_positive,replay
pa_084180,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\redteam\replay\pa_084180.wav,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\raw\genuine\pa_084180.wav,GENUINE_MIC,0.861531674861908,false_positive,replay
pa_084186,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\redteam\replay\pa_084186.wav,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\raw\replay\pa_084186.wav,PHYSICAL_REPLAY,0.5852644443511963,false_negative,replay
pa_084191,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\redteam\replay\pa_084191.wav,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\raw\replay\pa_084191.wav,PHYSICAL_REPLAY,0.3662383556365967,false_negative,replay
pa_084199,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\redteam\replay\pa_084199.wav,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\raw\replay\pa_084199.wav,PHYSICAL_REPLAY,0.4597897231578827,false_negative,replay
pa_084226,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\redteam\replay\pa_084226.wav,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\raw\genuine\pa_084226.wav,GENUINE_MIC,0.7463817000389099,false_positive,replay
pa_084235,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\redteam\replay\pa_084235.wav,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\raw\replay\pa_084235.wav,PHYSICAL_REPLAY,0.475816935300827,false_negative,replay
pa_084240,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\redteam\replay\pa_084240.wav,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\raw\replay\pa_084240.wav,PHYSICAL_REPLAY,0.20703357458114624,false_negative,replay
pa_084246,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\redteam\replay\pa_084246.wav,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\raw\genuine\pa_084246.wav,GENUINE_MIC,0.972908079624176,false_positive,replay
pa_084274,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\redteam\replay\pa_084274.wav,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\raw\genuine\pa_084274.wav,GENUINE_MIC,0.9593767523765564,false_positive,replay
pa_084281,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\redteam\replay\pa_084281.wav,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\raw\replay\pa_084281.wav,PHYSICAL_REPLAY,0.24675436317920685,false_negative,replay
pa_084282,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\redteam\replay\pa_084282.wav,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\raw\genuine\pa_084282.wav,GENUINE_MIC,0.7273510694503784,false_positive,replay
pa_084299,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\redteam\replay\pa_084299.wav,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\raw\replay\pa_084299.wav,PHYSICAL_REPLAY,0.6223791241645813,false_negative,replay
pa_084302,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\redteam\replay\pa_084302.wav,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\raw\genuine\pa_084302.wav,GENUINE_MIC,0.9599211812019348,false_positive,replay
pa_084308,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\redteam\replay\pa_084308.wav,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\raw\replay\pa_084308.wav,PHYSICAL_REPLAY,0.6118714213371277,false_negative,replay
pa_084309,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\redteam\replay\pa_084309.wav,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\raw\genuine\pa_084309.wav,GENUINE_MIC,0.9358714818954468,false_positive,replay
pa_084324,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\redteam\replay\pa_084324.wav,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\raw\replay\pa_084324.wav,PHYSICAL_REPLAY,0.1711297333240509,false_negative,replay
pa_084333,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\redteam\replay\pa_084333.wav,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\raw\replay\pa_084333.wav,PHYSICAL_REPLAY,0.6165065169334412,false_negative,replay
pa_084335,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\redteam\replay\pa_084335.wav,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\raw\replay\pa_084335.wav,PHYSICAL_REPLAY,0.14758116006851196,false_negative,replay
pa_084337,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\redteam\replay\pa_084337.wav,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\raw\replay\pa_084337.wav,PHYSICAL_REPLAY,0.5136833190917969,false_negative,replay
pa_084338,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\redteam\replay\pa_084338.wav,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\raw\replay\pa_084338.wav,PHYSICAL_REPLAY,0.3595699667930603,false_negative,replay
pa_084349,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\redteam\replay\pa_084349.wav,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\raw\genuine\pa_084349.wav,GENUINE_MIC,0.7373654842376709,false_positive,replay
pa_084352,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\redteam\replay\pa_084352.wav,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\raw\genuine\pa_084352.wav,GENUINE_MIC,0.8378397226333618,false_positive,replay
pa_084379,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\redteam\replay\pa_084379.wav,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\raw\replay\pa_084379.wav,PHYSICAL_REPLAY,0.47589635848999023,false_negative,replay
pa_084381,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\redteam\replay\pa_084381.wav,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\raw\genuine\pa_084381.wav,GENUINE_MIC,0.8631448745727539,false_positive,replay
pa_084382,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\redteam\replay\pa_084382.wav,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\raw\replay\pa_084382.wav,PHYSICAL_REPLAY,0.5122296810150146,false_negative,replay
pa_084393,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\redteam\replay\pa_084393.wav,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\raw\replay\pa_084393.wav,PHYSICAL_REPLAY,0.43307191133499146,false_negative,replay
pa_084400,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\redteam\replay\pa_084400.wav,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\raw\replay\pa_084400.wav,PHYSICAL_REPLAY,0.28504735231399536,false_negative,replay
pa_084408,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\redteam\replay\pa_084408.wav,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\raw\replay\pa_084408.wav,PHYSICAL_REPLAY,0.48017051815986633,false_negative,replay
pa_084417,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\redteam\replay\pa_084417.wav,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\raw\replay\pa_084417.wav,PHYSICAL_REPLAY,0.43991541862487793,false_negative,replay
pa_084418,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\redteam\replay\pa_084418.wav,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\raw\replay\pa_084418.wav,PHYSICAL_REPLAY,0.5150112509727478,false_negative,replay
pa_084432,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\redteam\replay\pa_084432.wav,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\raw\replay\pa_084432.wav,PHYSICAL_REPLAY,0.6139941811561584,false_negative,replay
pa_084438,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\redteam\replay\pa_084438.wav,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\raw\replay\pa_084438.wav,PHYSICAL_REPLAY,0.604474663734436,false_negative,replay
pa_084471,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\redteam\replay\pa_084471.wav,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\raw\genuine\pa_084471.wav,GENUINE_MIC,0.8192366361618042,false_positive,replay
pa_084481,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\redteam\replay\pa_084481.wav,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\raw\genuine\pa_084481.wav,GENUINE_MIC,0.8412080407142639,false_positive,replay
pa_084484,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\redteam\replay\pa_084484.wav,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\raw\genuine\pa_084484.wav,GENUINE_MIC,0.7458374500274658,false_positive,replay
pa_084489,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\redteam\replay\pa_084489.wav,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\raw\replay\pa_084489.wav,PHYSICAL_REPLAY,0.4403763711452484,false_negative,replay
pa_084497,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\redteam\replay\pa_084497.wav,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\raw\replay\pa_084497.wav,PHYSICAL_REPLAY,0.583683967590332,false_negative,replay
pa_084499,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\redteam\replay\pa_084499.wav,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\raw\genuine\pa_084499.wav,GENUINE_MIC,0.6658858060836792,false_positive,replay
pa_084513,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\redteam\replay\pa_084513.wav,C:\Users\Ritik Raj\OneDrive\Desktop\voice_ai_detector\data\raw\replay\pa_084513.wav,PHYSICAL_REPLAY,0.4056099057197571,false_negative,replay
